balance,address,isContract,pendingReward,totalThalesLP,totalWETHLP,totalThales
130.5366793488659,0x6b719561b3c2163cab0ace33d2495d54a70edd3f,,236.4500092051624,248.72337872723904,0.04738907643823003,485.1733879324014
128.94736232905373,0x280ded1b7e430bed0cbb0aace452fd2adef2b581,,66.05946691594251,245.69510881101166,0.04681210247112633,311.75457572695416
128.09056225820197,0x4bdfc44bfb2f5329cd1647002cbb664a43dcf945,,,244.06256989873822,0.04650105607211873,244.06256989873822
127.88778215342413,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,,,243.67619456691125,0.04642744027360598,243.67619456691125
127.85046976334289,0xa665d83457cb91c3b254b35a5d61143f66473be7,,,243.60509988474462,0.046413894657810685,243.60509988474462
127.74869238103648,0x9aa91f046a058f739c1bb79141a1c62159b6276a,,,243.41117420399698,0.0463769461451485,243.41117420399698
126.38124778913745,0xfdb714222de5bfd1fb0571b22878a52488c46538,,228.05297497808525,240.80565795510847,0.04588051911319251,468.8586329331937
126.38124778913722,0x9160ab7ee16e69aabf910c41c46bb798c8f9546f,,,240.80565795510805,0.04588051911319243,240.80565795510805
125.66452498356364,0xe52a291b177de546cd146fcb25f489378caea21f,,178.82444993848563,239.44002096554817,0.04562032533480179,418.26447090403383
122.09737874856617,0x2716f282d60a4210b7cbf39933743034fd0b3ba5,,24.052125967888642,232.64321359762405,0.04432533478931027,256.6953395655127
121.76780941935043,0x54019b5f44120e750ca9f8ef866936a39b76c6ee,,,232.01525525291746,0.04420569036284098,232.01525525291746
120.41988246563291,0x4906e4f95ad546ce865916f65c825e00630bffa8,,,229.44692773088718,0.04371634887076766,229.44692773088718
118.13834166322889,0xcd917bf1dbae5dd0de7daae63926ec81b42faf77,,,225.09970103637792,0.0428880750704735,225.09970103637792
107.11273124115384,0x0872c017f10da047acc1a098c1e09b5560686d8a,1,169.93335495213984,204.0916051480203,0.03888541851695823,374.0249601001601
105.53238454588356,0x0b98c377b62702748898c5c4c9ccc2e2f35f084d,,3.55001822929273,201.08042720501814,0.03831170107053141,204.63044543431087
94.89840627104552,0xe696b3b1986c96fc677327f94bae2df3bb1d0af3,,173.64676345313748,180.8185435794887,0.03445121977268878,354.4653070326262
83.02207935235698,0xdb6dacb2f48be340ab4fe422f1f7186a4986a2ca,,153.48111586436107,158.18950036481513,0.030139725356234333,311.6706162291762
75.1319111189996,0x63e62588330657c99ba79139e7c21af0c0db1e7e,,120.99762366267898,143.15564695659276,0.027275336684895603,264.1532706192717
70.57659948422429,0x01e863c402f2e901ba264c3b0b2d6b8606eff2ba,,,134.47599839644528,0.02562160983710751,134.47599839644528
66.20205516531551,0x44a798fbf8e99c64d1fe674e177f412c6eba422d,,120.0536963433418,126.14078220419661,0.024033507426771496,246.1944785475384
63.14946480130407,0xc3c87e6ebe68bd212a4d099013328d474ed14b1f,,,120.32440482280174,0.022925317461956068,120.32440482280174
24.098782805597526,0x03b054a53c10f3a4e660fb49c303365c4ef9c9c1,,41.62960355029954,45.917597356701755,0.008748644948985264,87.5472009070013
21.255333867360566,0x73cb0f1b2d329cfa481c0577473c0abd32b15be5,,38.87729443264758,40.49971610918999,0.007716380149892334,79.37701054183756
17.961203330305466,0xaedb30ab917ae96cab92b9b7a8c1d1870dce92cc,,32.88213465152697,34.223110321208935,0.006520503216323255,67.1052449727359
6.839922081454591,0x5b81c4b7ce418437886ddf59eb18e8c520ec47cc,,12.671932475255959,13.03272412640253,0.0024831150291736385,25.70465660165849
4.122282725497082,0xe14c7cc4c4f690dd3332c0848c788b03c9637b87,,,7.854559290683181,0.0014965232159498292,7.854559290683181
2.552e-15,0x535272ad36cfcef42d06e794187c540aedc23373,,,4.862557142391631e-15,9.26459319124803e-19,4.862557142391631e-15
2.546e-15,0xe8a8ffc888a4c078b09974ed0af9bee1ececc056,,,4.851124798012967e-15,9.242811232334438e-19,4.851124798012967e-15
2.541e-15,0x0eeacd4c475040463389d15ead034d1291b008b1,,,4.841597844364081e-15,9.224659599906444e-19,4.841597844364081e-15
2.464e-15,0xf68d2bfcecd7895bba05a7451dd09a1749026454,,,4.69488275817123e-15,8.94512446051534e-19,4.69488275817123e-15
2.435e-15,0x442dc7d2e50a30dd218914784f6840c5557f18a8,,,4.639626427007689e-15,8.839844992432974e-19,4.639626427007689e-15
2.389e-15,0xcc15f837dbf16d9d7f311a7ce19f495893497dd1,,,4.551978453437934e-15,8.672849974095432e-19,4.551978453437934e-15
2.307e-15,0xbee2d469aacb46251ae33cca91f482e26c971dff,,,4.395736413596196e-15,8.375163202276334e-19,4.395736413596196e-15
2.212e-15,0x23cf8ab359e16929944f1aa8de0d3c5dcd3a520e,,,4.214724294267354e-15,8.030282186144453e-19,4.214724294267354e-15
2.163e-15,0x4a343860b1a27137bbf4fd0ab3342ddb801df4f6,,,4.121360148508267e-15,7.852396188350113e-19,4.121360148508267e-15
2.064e-15,0x35468da556854b412503284d6b03cbe82cd08f0b,,,3.932726466260316e-15,7.492993866275836e-19,3.932726466260316e-15
2.055e-15,0xdac09f37e132d91b962f30e6ec40d2d08b82b0fa,1,,3.9155779496923206e-15,7.460320927905447e-19,3.9155779496923206e-15
2.046e-15,0x9c57027b1eca93093a6f446422c59c85a5a3fa52,,,3.898429433124325e-15,7.427647989535059e-19,3.898429433124325e-15
1.971e-15,0x43c21cc46637ae611d2b3beead90a73ae56362b3,,,3.755525128391028e-15,7.155373503115151e-19,3.755525128391028e-15
1.963e-15,0x5e190617c7cfb30c3c87dd55920e117280d3f8e6,,,3.7402820025528104e-15,7.126330891230363e-19,3.7402820025528104e-15
1.928e-15,0x77724a942dd4b490a4289a71a6d1ffe92c0025fc,1,,3.673593327010606e-15,6.999269464234406e-19,3.673593327010606e-15
1.895e-15,0xd87ecc6c74f486b044824a222326a96f696fcfa2,,,3.610715432927955e-15,6.879468690209646e-19,3.610715432927955e-15
1.874e-15,0xcb9120133f6a19224059b9ed11d141b11d6439a9,,,3.570702227602632e-15,6.803231834012073e-19,3.570702227602632e-15
1.849e-15,0xd9012a0c82242b04ee09e45e98b24903f982d975,,,3.5230674593581997e-15,6.712473671872103e-19,3.5230674593581997e-15
1.847e-15,0xe855bdfcbdb38e8705d8d52b756da1028468b1bc,,,3.519256677898645e-15,6.705213018900906e-19,3.519256677898645e-15
