totalEscrowed,isContract,totalStaked,unstaking,unstakingAmount,wallet
1139360072160270500000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x9470ad737b2942d2e8ac9fac80781291464ab6b5
1696121111485113370000,,5024034221546254446779,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x841b152e501cdcb4f0452e5d69e8efad407759f3
1126789515369977456156,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x81aa6141923ea42fcaa763d9857418224d9b025a
34303669022489231100000,,101609965188558809381258,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xf40b3d16ae26262db9b19e0ec80d8a490c40bdcb
6039453468072253661079,,1172796410888963414289,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xccc020e1cca71c096ea0316850c1671846eaf5ba
16394032553627874416431,,51587415986150957733394,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x739f9535bcd439483a1538431f92f358a80f1801
2934515151837841230000,,12541453454837798529632,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xb15a835d5254b3846deec5d3600a5c18765a5026
807221755844999890000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x59932c8e0b3cf2d9f890bb5f4d30291086e651f9
8430408011448077901355,,24584349715175256030131,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xe6945ed413f233e248bcdf2a5af249b6af7cd58c
15746041748292031300000,,20629652932434505,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xf21accefee7af421eac9943bc16dc9e7c186c82b
14981465870915074597358,,43378766931358451691390,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xf658269ca1b33e2557f0e0b5088748cbe71b627b
1974613032466681470000,,6215543878356541234554,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xc40d9c885c9b732884135869ebb702d48a43f895
2101027767108659221305,,100000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xcfcce06af0ee209dfa340247199057fe619c98c9
358345998488112621943,,1561950530678162801380,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x584313319d0bfead2a9d98a7154f5dcb5a62887f
176017905142630550000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x2fcd6260c2dd56601ae9cd030222933548f60c28
5324437217812770576091,,20545755073892842749775,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xabe648928a8d5b1d943d5d237de71bb2a0c2794c
2860969961967160932382,,1355574022670726740183,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x4a8b9e2c2940fdd39aceb384654dc59acb58c337
3518792031564325750757,,12682848653236354211445,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xa37ec72f16b09664b633213defdc0fc077c225ed
67973932191298954000,,311529374261630024429,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x2e403b969a64bdd1ca18fe10baba4546957bc31e
1416689238728409740000,,8055607788087267893216,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x2809ca176dee44c51ccad4e992e7f9f2d128eb47
488804925939901657117,,0,,,0xd8e88db8b3e6dd20e1d2f5af1a4a8e1b5b16133d
3259936478968420180000,,19282684465075110411206,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x6e3aa85db95bba36276a37ed93b12b7ab0782afb
41860054130347835773,,159501712320036069533,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x2fba909aed4345ac0c67c75c51d955f822b14629
1127877030585492369601,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x05e09d942505764bca4475abf8efdbc21d1c535b
1446521795717839681205,,4211521734652699486390,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x8be60fe9f7c8d940d8da9d5ddd0d8e0c15a4288b
734623115888885500000,,0,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x828355119398b77d364f41ef6533dad936d5b5c1
1782070287313113768046,,500000000000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xf9f80337bf4c3881fe93180a34adf4cf32a779d8
2601505753291601601854,,6602803902784897216580,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x83de91ffc033e10eaf41ae3447ba94e45fca29c2
1691424212002317730852,,5212587520475168966603,,"{""type"":""BigNumber"",""hex"":""0x00""}",0xf0b84d97327b4a27d7ff1ef03fe9bb37e554628d
8984219815443857850000,,52753554750000000000000,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x4b2c52444c5e50ccbde0d410af47ff9ab5008f85
298041246673830594056,,176935989022817391948,,"{""type"":""BigNumber"",""hex"":""0x00""}",0x0716266cc5d3c443e30b0c4e9c72afa33778e1de
